threshold,tp,fp,fn,tn,precision,recall,f1
0.05,4720,3735,5,1104,0.5582495564754583,0.9989417989417989,0.716236722306525
0.1,4649,2876,76,1963,0.6178073089700997,0.983915343915344,0.7590204081632653
0.15,4563,2220,162,2619,0.6727111897390535,0.9657142857142857,0.7930135557872785
0.2,4520,2041,205,2798,0.6889193720469441,0.9566137566137566,0.8009923799397484
0.25,4447,1794,278,3045,0.7125460663355232,0.9411640211640212,0.8110523436075142
0.3,4389,1636,336,3203,0.7284647302904564,0.9288888888888889,0.8165581395348838
0.35,4247,1362,478,3477,0.7571759671955786,0.8988359788359789,0.8219469711631507
0.39999999999999997,4181,1246,544,3593,0.7704072231435416,0.8848677248677249,0.8236800630417652
0.44999999999999996,4047,1054,678,3785,0.7933738482650461,0.8565079365079366,0.8237329533889681
0.49999999999999994,3867,839,858,4000,0.8217169570760731,0.8184126984126984,0.8200614993107835
0.5499999999999999,3864,836,861,4003,0.8221276595744681,0.8177777777777778,0.819946949602122
0.6,3560,620,1165,4219,0.8516746411483254,0.7534391534391535,0.7995508141493544
0.65,3509,588,1216,4251,0.8564803514766902,0.7426455026455027,0.7955112219451372
0.7,3507,587,1218,4252,0.8566194430874451,0.7422222222222222,0.7953282685111691
0.75,3345,526,1380,4313,0.8641177990183415,0.707936507936508,0.7782689623080502
0.7999999999999999,2724,339,2001,4500,0.8893241919686582,0.5765079365079365,0.6995377503852079
0.85,2354,255,2371,4584,0.9022614028363357,0.4982010582010582,0.6419416416689392
0.9,1154,87,3571,4752,0.9298952457695407,0.24423280423280425,0.3868588669125042
0.95,169,6,4556,4833,0.9657142857142857,0.03576719576719577,0.0689795918367347
